# bloodmallet secondary-stat sims | targets column = castingpatchwerk/-3/-5 profile | simmed 2026-08-26 02:39 | SimC 02b39ce | tier MID2
# fetched 2026-08-27 by fetch-secondary-sims.sh
# columns: class	spec	targets	rank	crit_haste_mastery_vers	dps  (% of the secondary budget; rank 0 = budget:<rating> with the grid-worst dps for range)
death_knight	blood	5	12	40_30_10_20	322989
death_knight	blood	5	13	30_30_20_20	322390
death_knight	blood	5	14	30_30_30_10	321986
death_knight	blood	5	15	10_60_20_10	321891
death_knight	frost	1	0	budget:3050	183376
death_knight	frost	1	1	40_20_30_10	216617
death_knight	frost	1	2	40_10_40_10	215806
death_knight	frost	1	3	40_30_20_10	215422
death_knight	frost	1	4	50_20_20_10	214992
death_knight	frost	1	5	30_20_40_10	214956
death_knight	frost	1	6	50_10_30_10	214874
death_knight	frost	1	7	30_30_30_10	214466
death_knight	frost	1	8	30_10_50_10	213252
death_knight	frost	1	9	40_10_30_20	213142
death_knight	frost	1	10	50_30_10_10	213029
death_knight	frost	1	11	40_20_20_20	212974
death_knight	frost	1	12	30_20_30_20	212718
death_knight	frost	1	13	40_40_10_10	212299
death_knight	frost	1	14	30_10_40_20	212148
death_knight	frost	1	15	30_40_20_10	211947
death_knight	frost	3	0	budget:3050	364741
death_knight	frost	3	1	40_10_40_10	446392
death_knight	frost	3	2	50_10_30_10	444013
death_knight	frost	3	3	40_20_30_10	443508
death_knight	frost	3	4	50_20_20_10	440573
death_knight	frost	3	5	30_10_50_10	440375
death_knight	frost	3	6	30_20_40_10	439714
death_knight	frost	3	7	40_10_30_20	437881
death_knight	frost	3	8	40_30_20_10	436804
death_knight	frost	3	9	60_10_20_10	436011
death_knight	frost	3	10	30_10_40_20	435585
death_knight	frost	3	11	30_30_30_10	434515
death_knight	frost	3	12	50_10_20_20	433392
death_knight	frost	3	13	40_20_20_20	433374
death_knight	frost	3	14	30_20_30_20	431881
death_knight	frost	3	15	50_30_10_10	431537
death_knight	frost	5	0	budget:3050	545587
death_knight	frost	5	1	50_10_30_10	672011
death_knight	frost	5	2	40_10_40_10	671435
death_knight	frost	5	3	40_20_30_10	668731
death_knight	frost	5	4	50_20_20_10	665345
death_knight	frost	5	5	60_10_20_10	661835
death_knight	frost	5	6	30_10_50_10	660874
death_knight	frost	5	7	30_20_40_10	660645
death_knight	frost	5	8	40_10_30_20	660389
death_knight	frost	5	9	40_30_20_10	659480
death_knight	frost	5	10	50_10_20_20	656867
death_knight	frost	5	11	30_10_40_20	655040
death_knight	frost	5	12	30_30_30_10	653324
death_knight	frost	5	13	40_20_20_20	653305
death_knight	frost	5	14	60_20_10_10	653136
death_knight	frost	5	15	50_30_10_10	652754
death_knight	unholy	1	0	budget:3051	189630
death_knight	unholy	1	1	50_10_30_10	220584
death_knight	unholy	1	2	40_10_40_10	220184
death_knight	unholy	1	3	40_20_30_10	219997
death_knight	unholy	1	4	50_20_20_10	218895
death_knight	unholy	1	5	40_10_30_20	218260
death_knight	unholy	1	6	60_10_20_10	218025
death_knight	unholy	1	7	30_20_40_10	217700
death_knight	unholy	1	8	40_30_20_10	217647
death_knight	unholy	1	9	50_10_20_20	217423
death_knight	unholy	1	10	40_20_20_20	216834
death_knight	unholy	1	11	30_30_30_10	216620
death_knight	unholy	1	12	30_10_40_20	216311
death_knight	unholy	1	13	30_10_50_10	216224
death_knight	unholy	1	14	30_20_30_20	216009
death_knight	unholy	1	15	50_30_10_10	215719
death_knight	unholy	3	0	budget:3051	321299
death_knight	unholy	3	1	50_10_30_10	371479
death_knight	unholy	3	2	40_10_40_10	371470
death_knight	unholy	3	3	40_20_30_10	371264
death_knight	unholy	3	4	50_20_20_10	369311
death_knight	unholy	3	5	40_30_20_10	369294
death_knight	unholy	3	6	40_10_30_20	368480
death_knight	unholy	3	7	30_30_30_10	368125
death_knight	unholy	3	8	30_20_40_10	367581
death_knight	unholy	3	9	60_10_20_10	367088
death_knight	unholy	3	10	50_10_20_20	366551
death_knight	unholy	3	11	40_20_20_20	365981
death_knight	unholy	3	12	50_30_10_10	365604
death_knight	unholy	3	13	30_20_30_20	364925
death_knight	unholy	3	14	30_10_40_20	364867
death_knight	unholy	3	15	30_10_50_10	364854
death_knight	unholy	5	0	budget:3051	429705
death_knight	unholy	5	1	40_10_40_10	495575
death_knight	unholy	5	2	50_10_30_10	495428
death_knight	unholy	5	3	40_20_30_10	494592
death_knight	unholy	5	4	50_20_20_10	491985
death_knight	unholy	5	5	40_30_20_10	491375
death_knight	unholy	5	6	30_20_40_10	491281
death_knight	unholy	5	7	40_10_30_20	491253
death_knight	unholy	5	8	30_30_30_10	489870
death_knight	unholy	5	9	60_10_20_10	488378
death_knight	unholy	5	10	50_10_20_20	488120
death_knight	unholy	5	11	30_10_50_10	488086
death_knight	unholy	5	12	40_20_20_20	488021
death_knight	unholy	5	13	30_10_40_20	487502
death_knight	unholy	5	14	30_20_30_20	487358
death_knight	unholy	5	15	50_30_10_10	485714
demon_hunter	vengeance	1	0	budget:2899	113171
demon_hunter	vengeance	1	1	40_40_10_10	123581
demon_hunter	vengeance	1	2	30_40_10_20	123166
demon_hunter	vengeance	1	3	40_30_10_20	123133
demon_hunter	vengeance	1	4	30_40_20_10	123075
demon_hunter	vengeance	1	5	50_30_10_10	123039
demon_hunter	vengeance	1	6	40_30_20_10	122980
demon_hunter	vengeance	1	7	30_50_10_10	122793
demon_hunter	vengeance	1	8	30_30_20_20	122730
demon_hunter	vengeance	1	9	30_30_10_30	122459
demon_hunter	vengeance	1	10	20_40_20_20	122400
demon_hunter	vengeance	1	11	40_20_20_20	122282
demon_hunter	vengeance	1	12	30_30_30_10	122232
demon_hunter	vengeance	1	13	50_20_10_20	122232
demon_hunter	vengeance	1	14	50_20_20_10	122231
demon_hunter	vengeance	1	15	20_40_10_30	122217
demon_hunter	vengeance	3	0	budget:2899	248974
demon_hunter	vengeance	3	1	40_40_10_10	272871
demon_hunter	vengeance	3	2	30_40_10_20	272187
demon_hunter	vengeance	3	3	30_40_20_10	272149
demon_hunter	vengeance	3	4	40_30_10_20	271577
demon_hunter	vengeance	3	5	30_50_10_10	271526
demon_hunter	vengeance	3	6	40_30_20_10	271432
demon_hunter	vengeance	3	7	50_30_10_10	270814
demon_hunter	vengeance	3	8	20_40_20_20	270694
demon_hunter	vengeance	3	9	30_30_20_20	270688
demon_hunter	vengeance	3	10	30_30_10_30	270368
demon_hunter	vengeance	3	11	20_40_10_30	270166
demon_hunter	vengeance	3	12	30_30_30_10	269922
demon_hunter	vengeance	3	13	20_40_30_10	269859
demon_hunter	vengeance	3	14	20_50_20_10	269851
demon_hunter	vengeance	3	15	20_50_10_20	269678
demon_hunter	vengeance	5	0	budget:2899	367211
demon_hunter	vengeance	5	1	40_40_10_10	400221
demon_hunter	vengeance	5	2	30_40_10_20	399919
demon_hunter	vengeance	5	3	30_40_20_10	399907
demon_hunter	vengeance	5	4	30_50_10_10	398408
demon_hunter	vengeance	5	5	40_30_10_20	398181
demon_hunter	vengeance	5	6	20_40_20_20	398055
demon_hunter	vengeance	5	7	40_30_20_10	397962
demon_hunter	vengeance	5	8	30_30_20_20	397494
demon_hunter	vengeance	5	9	20_40_30_10	397282
demon_hunter	vengeance	5	10	20_40_10_30	396958
demon_hunter	vengeance	5	11	20_50_10_20	396919
demon_hunter	vengeance	5	12	20_50_20_10	396911
demon_hunter	vengeance	5	13	50_30_10_10	396888
demon_hunter	vengeance	5	14	30_30_30_10	396739
demon_hunter	vengeance	5	15	30_30_10_30	396652
hunter	beast_mastery	1	0	budget:2902	201292
hunter	beast_mastery	1	1	10_40_40_10	222149
hunter	beast_mastery	1	2	10_50_30_10	221803
hunter	beast_mastery	1	3	20_30_40_10	221492
hunter	beast_mastery	1	4	10_30_40_20	221454
hunter	beast_mastery	1	5	10_40_30_20	221233
hunter	beast_mastery	1	6	10_30_50_10	221037
hunter	beast_mastery	1	7	20_40_30_10	221037
hunter	beast_mastery	1	8	20_30_30_20	220264
hunter	beast_mastery	1	9	10_50_20_20	220111
hunter	beast_mastery	1	10	20_50_20_10	220108
hunter	beast_mastery	1	11	10_30_30_30	219908
hunter	beast_mastery	1	12	30_30_30_10	219846
hunter	beast_mastery	1	13	10_60_20_10	219528
hunter	beast_mastery	1	14	20_40_20_20	219484
hunter	beast_mastery	1	15	30_40_20_10	219111
hunter	beast_mastery	3	0	budget:2902	260668
hunter	beast_mastery	3	1	20_20_50_10	284250
hunter	beast_mastery	3	2	10_30_50_10	283961
hunter	beast_mastery	3	3	20_30_40_10	283947
hunter	beast_mastery	3	4	10_20_50_20	283923
hunter	beast_mastery	3	5	20_20_40_20	283856
hunter	beast_mastery	3	6	10_30_40_20	283792
hunter	beast_mastery	3	7	20_10_50_20	283369
hunter	beast_mastery	3	8	10_40_40_10	283163
hunter	beast_mastery	3	9	10_10_50_30	283159
hunter	beast_mastery	3	10	30_20_40_10	283097
hunter	beast_mastery	3	11	10_20_60_10	282937
hunter	beast_mastery	3	12	30_10_50_10	282785
hunter	beast_mastery	3	13	10_20_40_30	282723
hunter	beast_mastery	3	14	20_10_40_30	282505
hunter	beast_mastery	3	15	10_10_60_20	282426
hunter	beast_mastery	5	0	budget:2902	321474
hunter	beast_mastery	5	1	20_10_50_20	352714
hunter	beast_mastery	5	2	10_10_50_30	352158
hunter	beast_mastery	5	3	10_20_50_20	352075
hunter	beast_mastery	5	4	20_20_50_10	352023
hunter	beast_mastery	5	5	10_10_60_20	351838
hunter	beast_mastery	5	6	20_10_60_10	351610
hunter	beast_mastery	5	7	30_10_50_10	351572
hunter	beast_mastery	5	8	10_20_60_10	351085
hunter	beast_mastery	5	9	20_20_40_20	350946
hunter	beast_mastery	5	10	30_20_40_10	350879
hunter	beast_mastery	5	11	30_10_40_20	350818
hunter	beast_mastery	5	12	20_10_40_30	350778
hunter	beast_mastery	5	13	10_30_50_10	350738
hunter	beast_mastery	5	14	10_20_40_30	350442
hunter	beast_mastery	5	15	20_30_40_10	349938
hunter	marksmanship	1	0	budget:3051	197201
hunter	marksmanship	1	1	50_10_30_10	226101
hunter	marksmanship	1	2	40_10_40_10	225789
hunter	marksmanship	1	3	40_10_30_20	225347
hunter	marksmanship	1	4	50_10_20_20	225023
hunter	marksmanship	1	5	60_10_20_10	224179
hunter	marksmanship	1	6	40_10_20_30	223692
hunter	marksmanship	1	7	40_20_30_10	223648
hunter	marksmanship	1	8	50_20_20_10	223426
hunter	marksmanship	1	9	30_10_40_20	223301
hunter	marksmanship	1	10	40_20_20_20	222776
hunter	marksmanship	1	11	50_10_10_30	222740
hunter	marksmanship	1	12	30_10_50_10	222435
hunter	marksmanship	1	13	30_10_30_30	222281
hunter	marksmanship	1	14	60_10_10_20	222186
hunter	marksmanship	1	15	50_20_10_20	221805
hunter	marksmanship	3	0	budget:3051	282365
hunter	marksmanship	3	1	50_10_30_10	328885
hunter	marksmanship	3	2	40_10_30_20	328284
hunter	marksmanship	3	3	50_10_20_20	328008
hunter	marksmanship	3	4	40_10_40_10	327814
hunter	marksmanship	3	5	60_10_20_10	326962
hunter	marksmanship	3	6	40_10_20_30	326428
hunter	marksmanship	3	7	50_10_10_30	325657
hunter	marksmanship	3	8	60_10_10_20	325127
hunter	marksmanship	3	9	50_20_20_10	325046
hunter	marksmanship	3	10	40_20_30_10	324648
hunter	marksmanship	3	11	30_10_40_20	324036
hunter	marksmanship	3	12	40_20_20_20	323923
hunter	marksmanship	3	13	50_20_10_20	323614
hunter	marksmanship	3	14	30_10_30_30	323353
hunter	marksmanship	3	15	40_10_10_40	323347
hunter	marksmanship	5	0	budget:3051	357953
hunter	marksmanship	5	1	50_10_30_10	419541
hunter	marksmanship	5	2	50_10_20_20	419191
hunter	marksmanship	5	3	40_10_30_20	418440
hunter	marksmanship	5	4	40_10_40_10	417885
hunter	marksmanship	5	5	60_10_20_10	417237
hunter	marksmanship	5	6	40_10_20_30	416950
hunter	marksmanship	5	7	50_10_10_30	416350
hunter	marksmanship	5	8	60_10_10_20	415840
hunter	marksmanship	5	9	50_20_20_10	414293
hunter	marksmanship	5	10	40_20_30_10	413524
hunter	marksmanship	5	11	40_20_20_20	413120
hunter	marksmanship	5	12	40_10_10_40	413085
hunter	marksmanship	5	13	30_10_40_20	412812
hunter	marksmanship	5	14	50_20_10_20	412773
hunter	marksmanship	5	15	70_10_10_10	412640
hunter	survival	1	0	budget:3051	182357
hunter	survival	1	1	20_30_40_10	213637
hunter	survival	1	2	10_40_40_10	213412
hunter	survival	1	3	20_40_30_10	212952
hunter	survival	1	4	30_20_40_10	212740
hunter	survival	1	5	20_20_50_10	212580
hunter	survival	1	6	30_30_30_10	212265
hunter	survival	1	7	10_30_50_10	212158
hunter	survival	1	8	10_50_30_10	211849
hunter	survival	1	9	20_20_40_20	210952
hunter	survival	1	10	10_30_40_20	210640
hunter	survival	1	11	30_40_20_10	210630
hunter	survival	1	12	40_20_30_10	210432
hunter	survival	1	13	20_50_20_10	210426
hunter	survival	1	14	10_40_30_20	210084
hunter	survival	1	15	20_30_30_20	209971
hunter	survival	3	0	budget:3051	288560
hunter	survival	3	1	20_30_40_10	336425
hunter	survival	3	2	10_40_40_10	335205
hunter	survival	3	3	20_40_30_10	335040
hunter	survival	3	4	30_20_40_10	334597
hunter	survival	3	5	30_30_30_10	334367
hunter	survival	3	6	10_30_50_10	333476
hunter	survival	3	7	20_20_50_10	333419
hunter	survival	3	8	10_50_30_10	332970
hunter	survival	3	9	10_30_40_20	331717
hunter	survival	3	10	20_30_30_20	331561
hunter	survival	3	11	30_40_20_10	331535
hunter	survival	3	12	20_20_40_20	331274
hunter	survival	3	13	20_50_20_10	331167
hunter	survival	3	14	40_20_30_10	331146
hunter	survival	3	15	10_40_30_20	330819
hunter	survival	5	0	budget:3051	383188
hunter	survival	5	1	20_30_40_10	447900
hunter	survival	5	2	20_40_30_10	446579
hunter	survival	5	3	10_40_40_10	446527
hunter	survival	5	4	30_20_40_10	445576
hunter	survival	5	5	30_30_30_10	445471
hunter	survival	5	6	10_30_50_10	444652
hunter	survival	5	7	20_20_50_10	444219
hunter	survival	5	8	10_50_30_10	443902
hunter	survival	5	9	10_30_40_20	441944
hunter	survival	5	10	20_20_40_20	441865
hunter	survival	5	11	20_30_30_20	441577
hunter	survival	5	12	30_40_20_10	441123
hunter	survival	5	13	20_50_20_10	440717
hunter	survival	5	14	40_20_30_10	440326
hunter	survival	5	15	10_40_30_20	440325
mage	arcane	1	0	budget:2898	158046
mage	arcane	1	1	20_30_30_20	167556
mage	arcane	1	2	30_20_30_20	167266
mage	arcane	1	3	20_20_30_30	167257
mage	arcane	1	4	20_30_40_10	167240
mage	arcane	1	5	30_30_30_10	167238
mage	arcane	1	6	20_20_40_20	167082
mage	arcane	1	7	10_30_40_20	167048
mage	arcane	1	8	10_30_30_30	166981
mage	arcane	1	9	20_30_20_30	166913
mage	arcane	1	10	30_30_20_20	166908
mage	arcane	1	11	10_40_30_20	166852
mage	arcane	1	12	20_40_30_10	166804
mage	arcane	1	13	30_20_40_10	166680
mage	arcane	1	14	30_20_20_30	166609
mage	arcane	1	15	10_20_40_30	166581
mage	arcane	3	0	budget:2898	290884
mage	arcane	3	1	20_30_20_30	308548
mage	arcane	3	2	30_30_20_20	308097
mage	arcane	3	3	30_30_10_30	307950
mage	arcane	3	4	20_30_30_20	307870
mage	arcane	3	5	20_40_20_20	307748
mage	arcane	3	6	20_30_10_40	307646
mage	arcane	3	7	30_20_20_30	307640
mage	arcane	3	8	10_30_20_40	307361
mage	arcane	3	9	20_20_30_30	307359
mage	arcane	3	10	20_20_20_40	307201
mage	arcane	3	11	10_40_20_30	307047
mage	arcane	3	12	10_30_30_30	306974
mage	arcane	3	13	30_30_30_10	306958
mage	arcane	3	14	30_40_10_20	306913
mage	arcane	3	15	20_40_10_30	306912
mage	arcane	5	0	budget:2898	414445
mage	arcane	5	1	20_30_10_40	444087
mage	arcane	5	2	30_30_10_30	443835
mage	arcane	5	3	20_30_20_30	443610
mage	arcane	5	4	30_40_10_20	443183
mage	arcane	5	5	20_40_10_30	443056
mage	arcane	5	6	30_30_20_20	442966
mage	arcane	5	7	20_40_20_20	442765
mage	arcane	5	8	30_20_10_40	442624
mage	arcane	5	9	10_30_20_40	442320
mage	arcane	5	10	10_40_10_40	441959
mage	arcane	5	11	10_30_10_50	441842
mage	arcane	5	12	10_40_20_30	441763
mage	arcane	5	13	40_30_10_20	441655
mage	arcane	5	14	20_20_10_50	441650
mage	arcane	5	15	20_20_20_40	441587
mage	fire	1	0	budget:2875	166683
mage	fire	1	1	10_50_20_20	202104
mage	fire	1	2	10_50_30_10	201955
mage	fire	1	3	10_60_20_10	201685
mage	fire	1	4	10_60_10_20	201625
mage	fire	1	5	10_40_20_30	201557
mage	fire	1	6	10_50_10_30	201501
mage	fire	1	7	10_40_30_20	201378
mage	fire	1	8	10_40_10_40	200508
mage	fire	1	9	10_40_40_10	200501
mage	fire	1	10	10_30_30_30	199659
mage	fire	1	11	10_70_10_10	199398
mage	fire	1	12	10_30_20_40	199225
mage	fire	1	13	10_30_40_20	199177
mage	fire	1	14	10_30_10_50	197830
mage	fire	1	15	10_30_50_10	197498
mage	fire	3	0	budget:2875	300632
mage	fire	3	1	10_50_30_10	361116
mage	fire	3	2	10_40_30_20	361075
mage	fire	3	3	10_40_40_10	360774
mage	fire	3	4	10_50_20_20	359756
mage	fire	3	5	10_30_40_20	359191
mage	fire	3	6	10_40_20_30	358820
mage	fire	3	7	10_30_30_30	358461
mage	fire	3	8	10_60_20_10	357690
mage	fire	3	9	10_30_50_10	357348
mage	fire	3	10	10_50_10_30	356823
mage	fire	3	11	10_30_20_40	356192
mage	fire	3	12	10_20_40_30	355957
mage	fire	3	13	10_40_10_40	355344
mage	fire	3	14	10_60_10_20	355294
mage	fire	3	15	10_20_50_20	354980
mage	fire	5	0	budget:2875	478372
mage	fire	5	1	10_50_20_20	563632
mage	fire	5	2	10_50_10_30	563428
mage	fire	5	3	10_40_20_30	563155
mage	fire	5	4	10_40_10_40	562091
mage	fire	5	5	10_60_10_20	561975
mage	fire	5	6	10_40_30_20	561875
mage	fire	5	7	10_50_30_10	561104
mage	fire	5	8	10_60_20_10	560381
mage	fire	5	9	10_30_20_40	558755
mage	fire	5	10	10_40_40_10	558186
mage	fire	5	11	10_30_30_30	558181
mage	fire	5	12	10_30_10_50	555928
mage	fire	5	13	10_30_40_20	555363
mage	fire	5	14	10_70_10_10	554963
mage	fire	5	15	20_50_10_20	551655
mage	frost	1	0	budget:3040	168803
mage	frost	1	1	40_10_40_10	193261
mage	frost	1	2	50_10_30_10	192570
mage	frost	1	3	40_20_30_10	192454
mage	frost	1	4	30_20_40_10	191808
mage	frost	1	5	40_10_30_20	191651
mage	frost	1	6	30_10_50_10	191349
mage	frost	1	7	50_20_20_10	190761
mage	frost	1	8	30_10_40_20	190695
mage	frost	1	9	30_20_30_20	190042
mage	frost	1	10	30_30_30_10	189997
mage	frost	1	11	60_10_20_10	189889
mage	frost	1	12	50_10_20_20	189817
mage	frost	1	13	40_30_20_10	189804
mage	frost	1	14	40_20_20_20	189671
mage	frost	1	15	20_20_50_10	188845
mage	frost	3	0	budget:3040	245455
mage	frost	3	1	40_10_40_10	284451
mage	frost	3	2	50_10_30_10	283713
mage	frost	3	3	40_20_30_10	282735
mage	frost	3	4	40_10_30_20	281651
mage	frost	3	5	30_20_40_10	281560
mage	frost	3	6	30_10_50_10	281494
mage	frost	3	7	30_10_40_20	280972
mage	frost	3	8	50_20_20_10	280181
mage	frost	3	9	50_10_20_20	279298
mage	frost	3	10	60_10_20_10	279253
mage	frost	3	11	30_20_30_20	278723
mage	frost	3	12	30_30_30_10	278398
mage	frost	3	13	40_20_20_20	278361
mage	frost	3	14	40_30_20_10	277891
mage	frost	3	15	20_20_50_10	277592
mage	frost	5	0	budget:3040	322386
mage	frost	5	1	40_10_40_10	376607
mage	frost	5	2	50_10_30_10	375191
mage	frost	5	3	40_20_30_10	373644
mage	frost	5	4	40_10_30_20	372830
mage	frost	5	5	30_10_50_10	372522
mage	frost	5	6	30_20_40_10	372096
mage	frost	5	7	30_10_40_20	371056
mage	frost	5	8	50_20_20_10	369900
mage	frost	5	9	60_10_20_10	368947
mage	frost	5	10	50_10_20_20	368905
mage	frost	5	11	30_20_30_20	368042
mage	frost	5	12	30_30_30_10	367368
mage	frost	5	13	40_20_20_20	367319
mage	frost	5	14	40_30_20_10	366962
mage	frost	5	15	20_20_50_10	366556
monk	brewmaster	1	0	budget:3048	113582
monk	brewmaster	1	1	50_10_10_30	144396
monk	brewmaster	1	2	40_10_10_40	144265
monk	brewmaster	1	3	40_10_20_30	143867
monk	brewmaster	1	4	50_10_20_20	143650
monk	brewmaster	1	5	60_10_10_20	143518
monk	brewmaster	1	6	40_10_30_20	142925
monk	brewmaster	1	7	30_10_10_50	142919
monk	brewmaster	1	8	30_10_20_40	142894
monk	brewmaster	1	9	60_10_20_10	142518
monk	brewmaster	1	10	30_10_30_30	142401
monk	brewmaster	1	11	50_10_30_10	142348
monk	brewmaster	1	12	70_10_10_10	141647
monk	brewmaster	1	13	40_10_40_10	141401
monk	brewmaster	1	14	30_10_40_20	141234
monk	brewmaster	1	15	20_10_20_50	141217
monk	brewmaster	3	0	budget:3048	221302
monk	brewmaster	3	1	50_10_10_30	278812
monk	brewmaster	3	2	40_10_10_40	278592
monk	brewmaster	3	3	40_10_20_30	278115
monk	brewmaster	3	4	50_10_20_20	277947
monk	brewmaster	3	5	60_10_10_20	277109
monk	brewmaster	3	6	40_10_30_20	276892
monk	brewmaster	3	7	30_10_20_40	276722
monk	brewmaster	3	8	50_10_30_10	276357
monk	brewmaster	3	9	30_10_30_30	276085
monk	brewmaster	3	10	30_10_10_50	276045
monk	brewmaster	3	11	60_10_20_10	275856
monk	brewmaster	3	12	40_10_40_10	274458
monk	brewmaster	3	13	30_10_40_20	274163
monk	brewmaster	3	14	20_10_20_50	273358
monk	brewmaster	3	15	70_10_10_10	273343
monk	brewmaster	5	0	budget:3048	300720
monk	brewmaster	5	1	50_10_10_30	375146
monk	brewmaster	5	2	40_10_10_40	374866
monk	brewmaster	5	3	40_10_20_30	374532
monk	brewmaster	5	4	50_10_20_20	374289
monk	brewmaster	5	5	60_10_10_20	373207
monk	brewmaster	5	6	40_10_30_20	373043
monk	brewmaster	5	7	30_10_20_40	372689
monk	brewmaster	5	8	50_10_30_10	371937
monk	brewmaster	5	9	30_10_10_50	371626
monk	brewmaster	5	10	30_10_30_30	371615
monk	brewmaster	5	11	60_10_20_10	371118
monk	brewmaster	5	12	40_10_40_10	369549
monk	brewmaster	5	13	30_10_40_20	369119
monk	brewmaster	5	14	70_10_10_10	368564
monk	brewmaster	5	15	20_10_20_50	367814
monk	windwalker	1	0	budget:3051	200120
monk	windwalker	1	1	30_30_30_10	220547
monk	windwalker	1	2	20_40_30_10	220143
monk	windwalker	1	3	30_40_20_10	220039
monk	windwalker	1	4	20_30_40_10	219762
monk	windwalker	1	5	20_30_30_20	219255
monk	windwalker	1	6	30_30_20_20	219119
monk	windwalker	1	7	40_30_20_10	219081
monk	windwalker	1	8	20_40_20_20	218853
monk	windwalker	1	9	10_40_40_10	218727
monk	windwalker	1	10	30_20_40_10	218650
monk	windwalker	1	11	10_40_30_20	218502
monk	windwalker	1	12	20_50_20_10	218257
monk	windwalker	1	13	40_20_30_10	218224
monk	windwalker	1	14	10_30_40_20	217937
monk	windwalker	1	15	40_40_10_10	217866
monk	windwalker	3	0	budget:3051	344901
monk	windwalker	3	1	20_40_30_10	394322
monk	windwalker	3	2	10_40_40_10	394216
monk	windwalker	3	3	10_50_30_10	392250
monk	windwalker	3	4	20_30_40_10	392227
monk	windwalker	3	5	30_30_30_10	391971
monk	windwalker	3	6	30_40_20_10	391758
monk	windwalker	3	7	10_40_30_20	390638
monk	windwalker	3	8	20_50_20_10	390108
monk	windwalker	3	9	20_30_30_20	389897
monk	windwalker	3	10	20_40_20_20	389127
monk	windwalker	3	11	10_30_40_20	388953
monk	windwalker	3	12	10_30_50_10	388716
monk	windwalker	3	13	40_30_20_10	387280
monk	windwalker	3	14	30_20_40_10	386912
monk	windwalker	3	15	30_30_20_20	386697
monk	windwalker	5	0	budget:3051	506523
monk	windwalker	5	1	20_40_30_10	590159
monk	windwalker	5	2	10_40_40_10	589183
monk	windwalker	5	3	10_50_30_10	588810
monk	windwalker	5	4	20_30_40_10	586912
monk	windwalker	5	5	10_40_30_20	584224
monk	windwalker	5	6	20_50_20_10	583922
monk	windwalker	5	7	30_30_30_10	583872
monk	windwalker	5	8	30_40_20_10	583714
monk	windwalker	5	9	10_30_50_10	582390
monk	windwalker	5	10	10_30_40_20	580880
monk	windwalker	5	11	20_30_30_20	580710
monk	windwalker	5	12	20_40_20_20	579838
monk	windwalker	5	13	10_60_20_10	579304
monk	windwalker	5	14	10_50_20_20	577623
monk	windwalker	5	15	40_30_20_10	576345
paladin	protection	1	0	budget:3045	111351
paladin	protection	1	1	30_50_10_10	126398
paladin	protection	1	2	20_50_10_20	126277
paladin	protection	1	3	30_40_10_20	126231
paladin	protection	1	4	40_40_10_10	126148
paladin	protection	1	5	30_40_20_10	126000
paladin	protection	1	6	20_50_20_10	125784
paladin	protection	1	7	20_40_10_30	125574
paladin	protection	1	8	20_40_20_20	125477
paladin	protection	1	9	20_60_10_10	125477
paladin	protection	1	10	10_50_10_30	125060
